X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y	GRADX	GRADY
5.666667	2.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
9.000000	12.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	5.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	15.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.666667	11.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.666667	20.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
10.666667	4.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
19.333333	4.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
15.000000	2.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
24.333333	2.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
19.333333	8.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
11.666667	17.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
16.000000	16.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
19.666667	18.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
24.666667	15.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
16.000000	10.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
20.333333	24.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
26.333333	24.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
11.666667	8.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
9.666667	21.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.333333	30.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	25.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
8.666667	30.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.000000	35.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	44.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.333333	39.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.333333	48.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
9.000000	39.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
16.333333	32.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
11.666667	25.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
19.666667	36.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
12.000000	43.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
10.333333	53.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
9.333333	48.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
21.000000	47.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
26.333333	45.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
17.333333	42.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
19.666667	53.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
25.666667	35.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
11.000000	34.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
16.666667	27.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.000000	54.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
24.333333	10.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
35.333333	2.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
40.000000	9.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
32.000000	6.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
34.000000	17.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
35.000000	11.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
38.333333	20.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
29.000000	18.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
40.333333	4.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
27.666667	6.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
49.333333	4.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
45.000000	2.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
54.333333	2.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
48.333333	22.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
44.000000	18.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
54.000000	11.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
57.333333	5.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
49.333333	9.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
56.333333	16.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
62.333333	16.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
44.666667	12.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
39.333333	26.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
35.666667	30.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
45.666667	27.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
45.000000	37.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
38.333333	36.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
30.333333	49.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
35.666667	46.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
40.666667	50.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
46.000000	48.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
34.666667	40.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
29.666667	55.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
48.666667	32.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
28.666667	40.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
57.666667	27.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
55.000000	32.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
64.000000	40.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
58.000000	39.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
51.333333	53.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
56.333333	50.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
60.666667	54.666667	255.000000	3815882.590209	345716.511324	0.113157	0.993577	0.993577	-0.113157	0.000000	0.000000
63.000000	63.000000	255.000000	17472498.554157	11723743.885419	0.897442	0.441133	0.441133	-0.897442	0.000000	0.000000
54.666667	44.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
51.666667	58.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
65.333333	54.333333	255.000000	3815882.590209	345716.511324	0.113157	0.993577	0.993577	-0.113157	0.000000	0.000000
48.000000	43.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
54.000000	21.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
40.333333	56.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
64.000000	27.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
29.000000	29.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
60.666667	60.666667	255.000000	9202032.979819	4908400.623185	0.953364	0.301823	0.301823	-0.953364	0.000000	0.000000
2.000000	65.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5.333333	61.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.333333	70.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	84.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	74.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4.666667	78.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
9.000000	69.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
14.333333	62.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
14.666667	56.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
18.666667	66.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
12.333333	73.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
11.333333	83.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
10.000000	78.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
22.333333	76.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
28.333333	73.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
17.666667	72.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
6.000000	87.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
23.666667	63.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
10.000000	64.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5.333333	57.000000	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
21.666667	82.666667	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5.000000	100.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2.333333	95.333333	255.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
