X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
2	2	0	0	0	1	0	0	1
129.333	470.848	3	2136.23	326.924	0.111025	-0.993818	-0.993818	-0.111025
2	8	0	0	0	1	0	0	1
2	14	0	0	0	1	0	0	1
275.333	422.083	52	11647.5	255.056	0.955574	-0.29475	-0.29475	-0.955574
4	4	0	0	0	1	0	0	1
131	471.182	2	2063.27	284.532	0.131246	0.99135	0.99135	-0.131246
10	4	0	0	0	1	0	0	1
8	2	0	0	0	1	0	0	1
10	10	0	0	0	1	0	0	1
8	8	0	0	0	1	0	0	1
14	14	0	0	0	1	0	0	1
4	16	0	0	0	1	0	0	1
14	8	0	0	0	1	0	0	1
4	10	0	0	0	1	0	0	1
10	14	0	0	0	1	0	0	1
4	22	0	0	0	1	0	0	1
2	20	0	0	0	1	0	0	1
4	28	0	0	0	1	0	0	1
2	26	0	0	0	1	0	0	1
8.33333	26.6667	0	3855.51	1647.76	0.606164	0.79534	0.79534	-0.606164
4	32	0	0	0	1	0	0	1
8	20	0	0	0	1	0	0	1
13.3333	23.3333	0	6324.35	2896.29	0.0343716	0.999409	0.999409	-0.0343716
15	20.6667	0	3563.05	154.328	0.290191	-0.956969	-0.956969	-0.290191
14	27.3333	11	7521.01	5613.26	0.533222	-0.845975	-0.845975	-0.533222
11	28.6667	0	5717.97	3698.92	0.99909	0.0426529	0.0426529	-0.99909
14.3333	32.3333	6	7754.85	4778.75	0.999375	0.0353511	0.0353511	-0.999375
11	31	0	7003.07	733.852	0.989258	-0.14618	-0.14618	-0.989258
15.6667	31.3333	10	7394.72	4666.68	0.482785	0.875739	0.875739	-0.482785
8.33333	33	0	3615.28	208.022	0.999778	0.021058	0.021058	-0.999778
15.3333	28.6667	14	6512.71	4469.38	0.438278	-0.898839	-0.898839	-0.438278
10.3333	22.6667	0	3855.51	1647.76	0.606164	0.79534	0.79534	-0.606164
8	16	0	0	0	1	0	0	1
15	34.3333	5	12225.8	5696.63	0.162405	0.986724	0.986724	-0.162405
14	2	0	0	0	1	0	0	1
281	417.083	54	3367.28	496.322	0.986345	0.164693	0.164693	-0.986345
20	2	0	0	0	1	0	0	1
16	16	0	0	0	1	0	0	1
20	8	0	0	0	1	0	0	1
20	14	0	0	0	1	0	0	1
17.3333	22.6667	0	6228.56	562.749	0.0876604	-0.99615	-0.99615	-0.0876604
22	4	0	0	0	1	0	0	1
16	10	0	0	0	1	0	0	1
28	4	0	0	0	1	0	0	1
26	2	0	0	0	1	0	0	1
32	8	0	0	0	1	0	0	1
28	8	0	0	0	1	0	0	1
26	14	0	0.055	0.01	0.894354	0.447361	0.447361	-0.894354
26	10	0	0	0	1	0	0	1
28.3333	20.6667	0	6487.24	335.305	0.193692	0.981062	0.981062	-0.193692
22	16	0	0.055	0.01	0.894354	0.447361	0.447361	-0.894354
29	17	0	4111.61	248.435	0.27383	0.961778	0.961778	-0.27383
22	10	0	0	0	1	0	0	1
22	19.6667	0	1814.42	227.579	0.0513303	-0.998682	-0.998682	-0.0513303
21.3333	27.6667	6	11589.9	1298.13	0.199515	0.979895	0.979895	-0.199515
20.3333	21.6667	0	4750.77	365.096	0.0847841	0.996399	0.996399	-0.0847841
19	31.3333	5	8248.35	2748.48	0.278466	0.960446	0.960446	-0.278466
19	28	7	8500.86	1166.46	0.454912	0.890536	0.890536	-0.454912
21.3333	32	11	8388.25	2593.72	0.314776	0.949166	0.949166	-0.314776
17.3333	32.6667	11	10009	2542.18	0.146661	0.989187	0.989187	-0.146661
22.3333	25.3333	7	11129.1	558.547	0.0503245	0.998733	0.998733	-0.0503245
17	26.6667	5	8429.66	1712.74	0.0934933	0.99562	0.99562	-0.0934933
27	27.3333	5	9957.59	831.358	0.00944551	-0.999955	-0.999955	-0.00944551
25.3333	25	2	10633.1	443.166	0.0226767	0.999743	0.999743	-0.0226767
30.6667	24.6667	7	6052.79	436.424	0.058348	-0.998296	-0.998296	-0.058348
29.3333	26.6667	6	5063.64	715.229	0.0547198	-0.998502	-0.998502	-0.0547198
28.3333	31.6667	2	5730.28	2238.14	0.101134	0.994873	0.994873	-0.101134
25.6667	30.3333	10	9865.6	1797.08	0.143073	0.989712	0.989712	-0.143073
30.3333	29.3333	13	4236.68	1406.91	0.361645	-0.932316	-0.932316	-0.361645
21.6667	34	1	7963.87	2179.04	0.0173563	-0.999849	-0.999849	-0.0173563
32.3333	29	13	3620.34	2390.28	0.449359	-0.893351	-0.893351	-0.449359
23	30.3333	15	11438.9	1711.41	0.318948	0.947772	0.947772	-0.318948
25.3333	21.3333	0	4245.98	258.518	0.0176182	0.999845	0.999845	-0.0176182
26	33.6667	6	6613.49	2003.5	0.0690884	0.997611	0.997611	-0.0690884
32	2	0	0	0	1	0	0	1
16	4	0	0	0	1	0	0	1
17	34.6667	24	15592.4	2910.23	0.00583015	-0.999983	-0.999983	-0.00583015
4	38	0	0	0	1	0	0	1
2	34	0	0	0	1	0	0	1
2	44	0	0	0	1	0	0	1
2	40	0	0	0	1	0	0	1
4	46	0	4.839	0.606	0.979964	0.199175	0.199175	-0.979964
8.33333	38.6667	0	4143.58	15.374	0.999822	0.018861	0.018861	-0.999822
15	39.3333	9	8373.16	5847.08	0.238579	-0.971123	-0.971123	-0.238579
10.6667	35.6667	0	7758.85	223.405	0.999803	0.0198544	0.0198544	-0.999803
11	43.6667	0	3401.39	2757.19	0.909997	0.414615	0.414615	-0.909997
8.33333	46	0	2333.51	469.444	0.814677	0.579914	0.579914	-0.814677
16	41.3333	2	9563.87	2616.04	0.0797818	-0.996812	-0.996812	-0.0797818
14.3333	44.3333	7	4494.1	3783.1	0.669887	0.742463	0.742463	-0.669887
15.6667	46.6667	9	4449.86	1606.26	0.656361	0.754447	0.754447	-0.656361
11	40.3333	0	5808.53	1711.49	0.990469	-0.137737	-0.137737	-0.990469
14	35.6667	7	9141.73	8142.98	0.993564	0.113276	0.113276	-0.993564
4	50	0	4.839	0.606	0.979964	0.199175	0.199175	-0.979964
4	56	0	0.087	0.013	1	0	0	1
2	52	0	0	0	1	0	0	1
